Metropolitan Statistical Area,Counties/principal cities,Population,"Violent
crime","Murder and
nonnegligent
manslaughter",Rape1,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft"
NA,Total area actually reporting,1,281,0,21,45,215,2857,410,2313,134
NA,"Rate per 100,000 inhabitants",NA,165.5,0,12.4,26.5,126.6,1682.8,241.5,1362.4,78.9
"Owensboro, KY M.S.A.",NA,117893,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Includes Daviess, Hancock, and McLean Counties",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Owensboro,59359,136,1,34,49,52,2658,486,1937,235
NA,Total area actually reporting,1,169,2,46,52,69,3196,636,2289,271
NA,"Rate per 100,000 inhabitants",NA,143.4,1.7,39,44.1,58.5,2710.9,539.5,1941.6,229.9
"Oxnard-Thousand Oaks-Ventura, CA M.S.A.",NA,849851,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Ventura County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Oxnard,209048,948,12,69,429,438,6073,978,4309,786
NA,City of Thousand Oaks,129853,164,0,30,33,101,1686,272,1302,112
NA,City of Ventura,110228,368,8,53,109,198,3750,628,2838,284
NA,City of Camarillo,68072,123,4,21,31,67,1125,202,824,99
NA,Total area actually reporting,1,2192,31,269,725,1167,16415,2910,11855,1650
NA,"Rate per 100,000 inhabitants",NA,257.9,3.6,31.7,85.3,137.3,1931.5,342.4,1395,194.2
"Palm Bay-Melbourne-Titusville, FL M.S.A.",NA,574187,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Brevard County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Palm Bay,108823,516,4,57,47,408,1841,454,1252,135
NA,City of Melbourne,80900,667,3,65,126,473,3308,686,2439,183
NA,City of Titusville,45723,355,3,40,61,251,1868,463,1183,222
NA,Total area actually reporting,1,2870,20,255,451,2144,14857,3249,10454,1154
NA,"Rate per 100,000 inhabitants",NA,499.8,3.5,44.4,78.5,373.4,2587.5,565.8,1820.7,201
"Panama City, FL M.S.A.",NA,200502,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Bay and Gulf Counties,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Panama City,38847,276,3,17,50,206,2098,330,1587,181
NA,Total area actually reporting,1,957,9,90,136,722,6776,1208,5136,432
NA,"Rate per 100,000 inhabitants",NA,477.3,4.5,44.9,67.8,360.1,3379.5,602.5,2561.6,215.5
"Parkersburg-Vienna, WV M.S.A.",NA,91681,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Wirt and Wood Counties,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Parkersburg,30913,206,4,27,19,156,1373,371,923,79
NA,City of Vienna,10537,20,0,4,1,15,447,29,415,3
NA,Total area actually reporting,1,360,4,47,24,285,2425,596,1703,126
NA,"Rate per 100,000 inhabitants",NA,392.7,4.4,51.3,26.2,310.9,2645,650.1,1857.5,137.4
"Pensacola-Ferry Pass-Brent, FL M.S.A.",NA,484608,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Escambia and Santa Rosa Counties,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Pensacola,53424,348,7,27,64,250,2184,341,1741,102
NA,Total area actually reporting,1,2219,25,243,396,1555,12338,2441,9137,760
NA,"Rate per 100,000 inhabitants",NA,457.9,5.2,50.1,81.7,320.9,2546,503.7,1885.4,156.8
"Peoria, IL M.S.A.",NA,375999,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Includes Marshall, Peoria, Stark, Tazewell, and Woodford Counties",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Peoria,115099,875,10,70,305,490,4429,1089,3116,224
NA,Total area actually reporting,0.957,1463,14,166,356,927,8215,1876,5981,358
NA,Estimated total,1,1497,14,171,366,946,8489,1919,6198,372
NA,"Rate per 100,000 inhabitants",NA,398.1,3.7,45.5,97.3,251.6,2257.7,510.4,1648.4,98.9
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD M.S.A.",NA,6068767,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Includes the Metropolitan Divisions of Camden, NJ; Montgomery County-Bucks County-Chester County, PA; Philadelphia, PA; and Wilmington, DE-MD-NJ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"City of Philadelphia, PA",1570826,15534,273,1259,6199,7803,49334,6985,36856,5493
NA,"City of Wilmington, DE",72183,1285,26,35,438,786,3544,812,2232,500
NA,Total area actually reporting,0.999,27091,480,2046,9875,14690,131765,20263,101444,10058
NA,Estimated total,1,27098,480,2046,9877,14695,131822,20270,101492,10060
NA,"Rate per 100,000 inhabitants",NA,446.5,7.9,33.7,162.8,242.1,2172.1,334,1672.4,165.8
"Camden, NJ M.D.",NA,1246564,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Includes Burlington, Camden, and Gloucester Counties",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Total area actually reporting,1,3396,83,282,1112,1919,24291,5135,17728,1428
NA,"Rate per 100,000 inhabitants",NA,272.4,6.7,22.6,89.2,153.9,1948.6,411.9,1422.1,114.6
"Montgomery County-Bucks County-Chester County, PA M.D.",NA,1964200,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Includes Bucks, Chester, and Montgomery Counties",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Total area actually reporting,0.999,2342,33,232,655,1422,27761,3178,23452,1131
NA,Estimated total,1,2345,33,232,656,1424,27783,3181,23470,1132
NA,"Rate per 100,000 inhabitants",NA,119.4,1.7,11.8,33.4,72.5,1414.5,161.9,1194.9,57.6
"Philadelphia, PA M.D.",NA,2134060,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Delaware and Philadelphia Counties,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Total area actually reporting,0.999,17639,311,1341,6925,9062,59550,8305,45163,6082
NA,Estimated total,1,17643,311,1341,6926,9065,59585,8309,45193,6083
NA,"Rate per 100,000 inhabitants",NA,826.7,14.6,62.8,324.5,424.8,2792.1,389.4,2117.7,285
"Wilmington, DE-MD-NJ M.D.",NA,723943,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Includes New Castle County, DE; Cecil County, MD; and Salem County, NJ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Total area actually reporting,1,3714,53,191,1183,2287,20163,3645,15101,1417
NA,"Rate per 100,000 inhabitants",NA,513,7.3,26.4,163.4,315.9,2785.2,503.5,2085.9,195.7
"Phoenix-Mesa-Scottsdale, AZ M.S.A.",NA,4662302,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Maricopa and Pinal Counties,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Phoenix,1586611,10700,146,1019,3272,6263,58552,13024,37568,7960
NA,City of Mesa,478277,2051,19,272,450,1310,11214,1950,8404,860
NA,City of Scottsdale,240885,369,4,90,112,163,5698,768,4681,249
NA,City of Tempe,178654,902,4,155,237,506,8144,1200,6494,450
NA,Total area actually reporting,0.998,19876,256,2148,5247,12225,133534,25703,94366,13465
NA,Estimated total,1,19904,256,2151,5253,12244,133812,25748,94580,13484
NA,"Rate per 100,000 inhabitants",NA,426.9,5.5,46.1,112.7,262.6,2870.1,552.3,2028.6,289.2
"Pine Bluff, AR M.S.A",NA,92403,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Includes Cleveland, Jefferson, and Lincoln Counties",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Pine Bluff,43976,705,9,38,130,528,2786,1062,1488,236
NA,Total area actually reporting,1,840,10,60,139,631,3594,1340,1944,310
NA,"Rate per 100,000 inhabitants",NA,909.1,10.8,64.9,150.4,682.9,3889.5,1450.2,2103.8,335.5
"Pittsburgh, PA M.S.A.",NA,2345496,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Includes Allegheny, Armstrong, Beaver, Butler, Fayette, Washington, and Westmoreland Counties",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Pittsburgh,302443,2366,57,100,1e3,1209,9868,1828,7222,818
NA,Total area actually reporting,0.979,6694,118,529,1924,4123,40207,7165,31025,2017
NA,Estimated total,1,6778,119,536,1945,4178,40964,7260,31659,2045
NA,"Rate per 100,000 inhabitants",NA,289,5.1,22.9,82.9,178.1,1746.5,309.5,1349.8,87.2
"Pittsfield, MA M.S.A.",NA,126594,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Berkshire County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Pittsfield,43031,340,3,37,39,261,1016,364,620,32
NA,Total area actually reporting,0.912,616,3,80,50,483,2138,649,1421,68
NA,Estimated total,1,649,3,83,55,508,2292,676,1537,79
NA,"Rate per 100,000 inhabitants",NA,512.7,2.4,65.6,43.4,401.3,1810.5,534,1214.1,62.4
"Pocatello, ID M.S.A.",NA,84414,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Bannock County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Pocatello,54448,207,2,18,14,173,1630,316,1184,130
NA,Total area actually reporting,1,241,3,20,18,200,2218,361,1712,145
NA,"Rate per 100,000 inhabitants",NA,285.5,3.6,23.7,21.3,236.9,2627.5,427.7,2028.1,171.8
"Portland-South Portland, ME M.S.A.2",NA,529510,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Includes Cumberland, Sagadahoc, and York Counties",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Portland,67041,196,2,36,59,99,1795,236,1485,74
NA,City of South Portland,25674,44,0,6,11,27,596,75,505,16
NA,Total area actually reporting,1,711,8,145,127,431,8954,1512,7148,294
NA,"Rate per 100,000 inhabitants",NA,134.3,1.5,27.4,24,81.4,1691,285.5,1349.9,55.5
"Portland-Vancouver-Hillsboro, OR-WA M.S.A.",NA,2435620,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Includes Clackamas, Columbia, Multnomah, Washington, and Yamhill Counties, OR and Clark and Skamania Counties, WA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"City of Portland, OR",642129,3163,14,389,986,1774,33087,4064,24099,4924
NA,"City of Vancouver, WA",174912,675,0,117,148,410,5533,860,3666,1007
NA,"City of Hillsboro, OR",104440,298,0,79,64,155,2010,232,1613,165
NA,"City of Beaverton, OR",97907,133,0,25,30,78,1403,124,1176,103
NA,Total area actually reporting,0.983,6635,41,1181,1647,3766,66937,8901,48646,9390
NA,Estimated total,1,6725,42,1199,1665,3819,68056,9029,49529,9498
NA,"Rate per 100,000 inhabitants",NA,276.1,1.7,49.2,68.4,156.8,2794.2,370.7,2033.5,390
"Port St. Lucie, FL M.S.A.",NA,461932,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Martin and St. Lucie Counties,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Port St. Lucie,182365,270,3,22,48,197,2419,400,1934,85
NA,Total area actually reporting,1,1196,19,132,216,829,8119,1523,6224,372
NA,"Rate per 100,000 inhabitants",NA,258.9,4.1,28.6,46.8,179.5,1757.6,329.7,1347.4,80.5
"Prescott, AZ M.S.A.",NA,225038,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Yavapai County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Prescott,42321,170,0,10,18,142,924,175,720,29
NA,Total area actually reporting,1,653,6,49,49,549,4326,841,3246,239
NA,"Rate per 100,000 inhabitants",NA,290.2,2.7,21.8,21.8,244,1922.3,373.7,1442.4,106.2
"Providence-Warwick, RI-MA M.S.A.3, 4",NA,1612295,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Includes Bristol County, MA and Bristol, Kent, Newport, Providence, and Washington Counties, RI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"City of Providence, RI3",179340,1031,10,112,300,609,NA,1154,4132,NA
NA,"City of Warwick, RI",81481,61,1,17,11,32,1625,158,1392,75
NA,Total area actually reporting,1,5079,39,625,1059,3356,NA,5922,NA,NA
NA,"Rate per 100,000 inhabitants",NA,315,2.4,38.8,65.7,208.2,NA,367.3,NA,NA
"Provo-Orem, UT M.S.A.",NA,599314,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Juab and Utah Counties,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Provo,115739,149,2,57,20,70,2713,266,2292,155
NA,City of Orem,95640,65,0,26,18,21,2447,209,2116,122
NA,Total area actually reporting,1,465,5,164,64,232,10556,1241,8766,549
NA,"Rate per 100,000 inhabitants",NA,77.6,0.8,27.4,10.7,38.7,1761.3,207.1,1462.7,91.6
"Pueblo, CO M.S.A.",NA,164337,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Pueblo County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Pueblo,109927,1081,9,171,224,677,7473,1797,4505,1171
NA,Total area actually reporting,1,1117,11,172,230,704,8784,2089,5364,1331
NA,"Rate per 100,000 inhabitants",NA,679.7,6.7,104.7,140,428.4,5345.1,1271.2,3264,809.9
"Punta Gorda, FL M.S.A.",NA,176234,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Charlotte County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Punta Gorda,18466,12,1,0,1,10,212,24,177,11
NA,Total area actually reporting,1,391,5,35,20,331,2671,432,2127,112
NA,"Rate per 100,000 inhabitants",NA,221.9,2.8,19.9,11.3,187.8,1515.6,245.1,1206.9,63.6
"Racine, WI M.S.A.",NA,194692,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Racine County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Racine,77536,367,6,16,133,212,2287,677,1510,100
NA,Total area actually reporting,1,427,8,29,148,242,3748,875,2715,158
NA,"Rate per 100,000 inhabitants",NA,219.3,4.1,14.9,76,124.3,1925.1,449.4,1394.5,81.2
"Rapid City, SD M.S.A.",NA,145700,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Includes Custer, Meade, and Pennington Counties",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Rapid City,74573,536,2,88,80,366,2966,480,2236,250
NA,Total area actually reporting,1,721,5,151,87,478,3806,635,2861,310
NA,"Rate per 100,000 inhabitants",NA,494.9,3.4,103.6,59.7,328.1,2612.2,435.8,1963.6,212.8
"Reading, PA M.S.A.",NA,414729,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Berks County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Reading,87834,597,10,47,233,307,2292,685,1417,190
NA,Total area actually reporting,0.991,1128,17,110,299,702,6740,1416,4973,351
NA,Estimated total,1,1135,17,111,301,706,6795,1423,5019,353
NA,"Rate per 100,000 inhabitants",NA,273.7,4.1,26.8,72.6,170.2,1638.4,343.1,1210.2,85.1
"Redding, CA M.S.A.",NA,178755,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Shasta County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Redding,91918,720,5,84,143,488,3837,710,2608,519
NA,Total area actually reporting,1,1333,12,150,172,999,5561,1217,3472,872
NA,"Rate per 100,000 inhabitants",NA,745.7,6.7,83.9,96.2,558.9,3111,680.8,1942.3,487.8
"Reno, NV M.S.A.",NA,457558,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Storey and Washoe Counties,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Reno,244554,1717,9,139,393,1176,7933,1208,5381,1344
NA,Total area actually reporting,1,2354,14,193,491,1656,11866,1919,8134,1813
NA,"Rate per 100,000 inhabitants",NA,514.5,3.1,42.2,107.3,361.9,2593.3,419.4,1777.7,396.2
"Riverside-San Bernardino-Ontario, CA M.S.A.",NA,4509084,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Riverside and San Bernardino Counties,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Riverside,325896,1724,10,141,586,987,11266,1977,7355,1934
NA,City of San Bernardino,217303,2878,62,123,903,1790,9178,2353,4228,2597
NA,City of Ontario,172606,602,8,32,227,335,4718,885,2764,1069
NA,City of Corona,166534,185,3,39,74,69,3693,741,2236,716
NA,City of Victorville,123438,748,7,46,224,471,3528,953,2002,573
NA,City of Temecula,114381,145,2,4,55,84,2587,341,1940,306
NA,City of Chino,87081,207,1,13,52,141,2151,439,1407,305
NA,City of Redlands,71485,225,0,37,76,112,2913,501,2014,398
NA,Total area actually reporting,1,17916,228,1203,5186,11299,120270,26204,70799,23267
NA,"Rate per 100,000 inhabitants",NA,397.3,5.1,26.7,115,250.6,2667.3,581.1,1570.1,516
"Roanoke, VA M.S.A.",NA,314014,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Includes Botetourt, Craig, Franklin, and Roanoke Counties and Roanoke and Salem Cities",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Roanoke,99978,413,13,36,117,247,4195,423,3549,223
NA,Total area actually reporting,1,763,16,106,148,493,7110,771,5961,378
NA,"Rate per 100,000 inhabitants",NA,243,5.1,33.8,47.1,157,2264.2,245.5,1898.3,120.4
"Rochester, MN M.S.A.",NA,214994,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Includes Dodge, Fillmore, Olmsted, and Wabasha Counties",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Rochester,113306,242,0,76,49,117,2479,375,1972,132
NA,Total area actually reporting,1,296,0,91,53,152,3138,526,2418,194
NA,"Rate per 100,000 inhabitants",NA,137.7,0,42.3,24.7,70.7,1459.6,244.7,1124.7,90.2
"Rochester, NY M.S.A.",NA,1075149,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Includes Livingston, Monroe, Ontario, Orleans, Wayne, and Yates Counties",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Rochester,209643,1845,43,161,670,971,7812,1475,5673,664
NA,Total area actually reporting,0.996,3012,51,458,913,1590,21396,3539,16745,1112
NA,Estimated total,1,3019,51,459,915,1594,21457,3547,16796,1114
NA,"Rate per 100,000 inhabitants",NA,280.8,4.7,42.7,85.1,148.3,1995.7,329.9,1562.2,103.6
"Rockford, IL M.S.A.",NA,337323,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Boone and Winnebago Counties,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Rockford,147361,2444,26,137,536,1745,5565,1406,3696,463
NA,Total area actually reporting,0.99,2932,31,234,603,2064,8697,2063,6047,587
NA,Estimated total,1,2939,31,235,605,2068,8756,2072,6094,590
NA,"Rate per 100,000 inhabitants",NA,871.3,9.2,69.7,179.4,613.1,2595.7,614.2,1806.6,174.9
"Rocky Mount, NC M.S.A.3",NA,147228,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Edgecombe and Nash Counties,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Rocky Mount3,55431,435,4,12,116,303,NA,593,NA,98
NA,Total area actually reporting,0.939,635,12,31,148,444,NA,1062,NA,155
NA,Estimated total,1,660,12,33,155,460,NA,1114,NA,165
NA,"Rate per 100,000 inhabitants",NA,448.3,8.2,22.4,105.3,312.4,NA,756.6,NA,112.1
"Rome, GA M.S.A.",NA,96420,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Floyd County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Rome,36278,208,4,8,52,144,1398,239,1088,71
NA,Total area actually reporting,1,309,5,27,67,210,2765,624,1954,187
NA,"Rate per 100,000 inhabitants",NA,320.5,5.2,28,69.5,217.8,2867.7,647.2,2026.6,193.9
"Sacramento - Roseville - Arden - Arcade, CA M.S.A.",NA,2283312,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Includes El Dorado, Placer, Sacramento, and Yolo Counties",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Sacramento,495471,3549,41,88,1136,2284,15283,3070,9389,2824
NA,City of Roseville,132566,199,0,21,95,83,3316,393,2596,327
NA,City of Folsom,77245,76,0,9,34,33,1384,264,1006,114
NA,Total area actually reporting,1,9384,95,595,2742,5952,54595,10479,35750,8366
NA,"Rate per 100,000 inhabitants",NA,411,4.2,26.1,120.1,260.7,2391,458.9,1565.7,366.4
"Saginaw, MI M.S.A.",NA,191925,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Saginaw County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Saginaw,48942,718,10,56,62,590,926,369,503,54
NA,Total area actually reporting,1,1168,18,128,108,914,3346,836,2359,151
NA,"Rate per 100,000 inhabitants",NA,608.6,9.4,66.7,56.3,476.2,1743.4,435.6,1229.1,78.7
"Salem, OR M.S.A.",NA,416427,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Marion and Polk Counties,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Salem,166508,533,7,38,128,360,6661,907,5114,640
NA,Total area actually reporting,1,952,19,94,189,650,11947,1769,8976,1202
NA,"Rate per 100,000 inhabitants",NA,228.6,4.6,22.6,45.4,156.1,2868.9,424.8,2155.5,288.6
"Salinas, CA M.S.A.",NA,434506,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Monterey County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Salinas,158729,1005,35,86,325,559,4742,695,2484,1563
NA,Total area actually reporting,1,1822,56,162,506,1098,10396,1666,6212,2518
NA,"Rate per 100,000 inhabitants",NA,419.3,12.9,37.3,116.5,252.7,2392.6,383.4,1429.7,579.5
"Salisbury, MD-DE M.S.A.",NA,397778,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Includes Sussex County, DE and Somerset, Wicomico, and Worcester Counties, MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"City of Salisbury, MD",33417,297,2,11,103,181,1695,234,1410,51
NA,Total area actually reporting,1,1609,15,156,352,1086,10755,2533,7939,283
NA,"Rate per 100,000 inhabitants",NA,404.5,3.8,39.2,88.5,273,2703.8,636.8,1995.8,71.1
"Salt Lake City, UT M.S.A.2",NA,1190065,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Salt Lake and Tooele Counties,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of Salt Lake City,193918,1815,13,264,506,1032,16551,1807,12814,1930
NA,Total area actually reporting,0.999,4885,47,827,1236,2775,54725,7286,40414,7025
NA,Estimated total,1,4885,47,827,1236,2775,54736,7288,40422,7026
NA,"Rate per 100,000 inhabitants",NA,410.5,3.9,69.5,103.9,233.2,4599.4,612.4,3396.6,590.4
"San Angelo, TX M.S.A.",NA,120833,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Irion and Tom Green Counties,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of San Angelo,101870,371,6,58,54,253,4991,875,3839,277
NA,Total area actually reporting,1,403,6,78,58,261,5484,1081,4095,308
NA,"Rate per 100,000 inhabitants",NA,333.5,5,64.6,48,216,4538.5,894.6,3389,254.9
"San Antonio-New Braunfels, TX M.S.A.2",NA,2426076,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Includes Atascosa, Bandera, Bexar, Comal, Guadalupe, Kendall, Medina, and Wilson Counties",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of San Antonio,1498642,10754,149,1190,2232,7183,77786,12235,58318,7233
NA,City of New Braunfels,73334,207,1,34,25,147,1721,245,1295,181
NA,Total area actually reporting,0.999,12767,187,1596,2544,8440,99e3,16088,74099,8813
NA,Estimated total,1,12771,187,1597,2545,8442,99029,16093,74121,8815
NA,"Rate per 100,000 inhabitants",NA,526.4,7.7,65.8,104.9,348,4081.9,663.3,3055.2,363.3
"San Diego-Carlsbad, CA M.S.A.",NA,3317259,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes San Diego County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of San Diego,1413414,5332,50,572,1387,3323,28624,4743,18042,5839
NA,City of Carlsbad,115040,209,0,37,49,123,2188,369,1652,167
NA,Total area actually reporting,1,10959,101,1088,2777,6993,61371,10391,39955,11025
NA,"Rate per 100,000 inhabitants",NA,330.4,3,32.8,83.7,210.8,1850.1,313.2,1204.5,332.4
"San Francisco-Oakland-Hayward, CA M.S.A.",NA,4688840,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Includes the Metropolitan Divisions of Oakland-Hayward-Berkeley, San Francisco-Redwood City-South San Francisco, and San Rafael",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of San Francisco,871155,6190,57,342,3175,2616,47402,4978,36991,5433
NA,City of Oakland,424998,6059,85,277,3076,2621,23952,2900,14153,6899
NA,City of Hayward,161122,631,13,66,348,204,4641,707,2308,1626
NA,City of Berkeley,122651,602,2,54,361,185,5420,805,3965,650
NA,City of San Leandro,91870,487,3,31,280,173,3530,499,2070,961
NA,City of Redwood City,87046,164,0,43,44,77,1503,260,1087,156
NA,City of San Ramon,76901,39,0,9,12,18,823,140,616,67
NA,City of Pleasanton,81464,100,0,12,44,44,1604,208,1260,136
NA,City of Walnut Creek,69860,78,1,1,30,46,2120,275,1611,234
NA,City of South San Francisco,67995,149,1,25,43,80,1416,307,902,207
NA,City of San Rafael,59435,249,0,28,111,110,1713,255,1186,272
NA,Total area actually reporting,1,22400,239,1589,10467,10105,156988,21502,107276,28210
NA,"Rate per 100,000 inhabitants",NA,477.7,5.1,33.9,223.2,215.5,3348.1,458.6,2287.9,601.6
"Oakland-Hayward-Berkeley, CA M.D.",NA,2787325,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Alameda and Contra Costa Counties,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Total area actually reporting,1,14022,169,937,6613,6303,88683,12410,55717,20556
NA,"Rate per 100,000 inhabitants",NA,503.1,6.1,33.6,237.3,226.1,3181.7,445.2,1998.9,737.5
"San Francisco-Redwood City-South San Francisco, CA M.D.",NA,1640386,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes San Francisco and San Mateo Counties,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Total area actually reporting,1,7903,67,600,3686,3550,63330,8101,48115,7114
NA,"Rate per 100,000 inhabitants",NA,481.8,4.1,36.6,224.7,216.4,3860.7,493.8,2933.2,433.7
"San Rafael, CA M.D.",NA,261129,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes Marin County,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Total area actually reporting,1,475,3,52,168,252,4975,991,3444,540
NA,"Rate per 100,000 inhabitants",NA,181.9,1.1,19.9,64.3,96.5,1905.2,379.5,1318.9,206.8
"San Jose-Sunnyvale-Santa Clara, CA M.S.A.",NA,1991233,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Includes San Benito and Santa Clara Counties,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,City of San Jose,1041844,3887,47,451,1214,2175,24749,4260,12786,7703
NA,City of Sunnyvale,154108,158,1,21,53,83,2140,520,1347,273
NA,City of Santa Clara,128179,159,3,17,58,81,2814,362,2039,413
NA,City of Mountain View,81726,132,0,9,29,94,1776,280,1377,119
NA,City of Milpitas,79990,96,1,9,52,34,1791,202,1320,269
